"id";"COMPOSIZIONE";"cl";"SEL";"ncol";"ccol";"nart";"Descrizione";"Collezione";"PRE";"PREC";"PRO";"PROC";"VEND";"VENDC";"LANC";"CONQ";"VA";"PIU";"DAOF";"FIL";"COL";"LF";"CQF";"VAS";"DAORDFINALE";"query per fronitore_PF";"MAGCF";"MAGC";"CLIENTE1";"ORDINE1";"CLIENTE2";"ORDINE2";"CLIENTE3";"ORDINE3";"CLIENTE4";"ORDINE4";"ORDTOT";"CARICA";"ORD";"ORM";"ORS";"RES";"OT";"SommaDiDAARR";"CARICAF";"ORDF";"ORMF";"ORSF";"RESF";"OTF";"DAARF";"clie";"Espr1";"cl2";"DAARFORN";"OTFORN";"CARICAFORN";"PV";"PPRO";"PPRE";"pv1";"ppre1"
"A5.FIL.307.N98DIF";"100%WO";"IGEASPA";-1;8965386;"A5.FIL.307.N98";8964621;"Aquila nm2/48";"DIF";157,58;800,00;157,58;800,00;157,58;800,00;;;;0,00;-2,42;"A5.FIL.307";"N98";0,00;0,00;0,00;-7,33;0,00;0,00;;"IGEASPA";483;;;;;;;483,00;;160,00;0,00;0,00;0,00;160,00;160,00;;483,00;0,00;0,00;0,00;483,00;483,00;"IGEASPA";;"IGEASPA";1311,00;1629,00;323,60;;;;;
"A5.FIL.307.R88DIF";"100%WO";"IGEASPA";-1;8965387;"A5.FIL.307.R88";8964621;"Aquila nm2/48";"DIF";118,17;600,00;118,17;600,00;118,17;600,00;;;;0,00;-1,83;"A5.FIL.307";"R88";0,00;0,00;0,00;-7,33;0,00;0,00;;"IGEASPA";483;;;;;;;483,00;;120,00;0,00;0,00;0,00;120,00;120,00;;483,00;0,00;0,00;0,00;483,00;483,00;"IGEASPA";;"IGEASPA";1311,00;1629,00;323,60;;;;;
"A5.FIL.307.U56DIF";"100%WO";"IGEASPA";-1;8965388;"A5.FIL.307.U56";8964621;"Aquila nm2/48";"DIF";42,34;600,00;42,34;600,00;42,34;600,00;;;;0,00;-0,66;"A5.FIL.307";"U56";0,00;0,00;0,00;-7,33;0,00;0,00;;"IGEASPA";483;;;;;;;483,00;;43,00;0,00;0,00;0,00;43,00;43,00;;483,00;0,00;0,00;0,00;483,00;483,00;"IGEASPA";;"IGEASPA";1311,00;1629,00;323,60;;;;;
"A5.FIL.501.BBGDIF";"62%VI + 38%PL";"YARNSCOLORS";-1;8965924;"A5.FIL.501.BBG";8965923;"Athena C3003 nm2/68";"DIF";179,99;500,00;179,99;500,00;179,99;500,00;;;;0,00;-3,01;"A5.FIL.501";"BBG";0,00;0,00;0,00;-9,03;0,00;0,00;;"YARNSCOLORS";549;;;;;;;549,00;;183,00;0,00;0,00;0,00;183,00;183,00;;549,00;0,00;0,00;0,00;549,00;549,00;"YARNSCOLORS";;"YARNSCOLORS";8922,00;8922,00;;;;;;
"A5.FIL.501.E69DIF";"62%VI + 38%PL";"YARNSCOLORS";-1;8965925;"A5.FIL.501.E69";8965923;"Athena C3003 nm2/68";"DIF";179,99;500,00;179,99;500,00;179,99;500,00;;;;0,00;-3,01;"A5.FIL.501";"E69";0,00;0,00;0,00;-9,03;0,00;0,00;;"YARNSCOLORS";549;;;;;;;549,00;;183,00;0,00;0,00;0,00;183,00;183,00;;549,00;0,00;0,00;0,00;549,00;549,00;"YARNSCOLORS";;"YARNSCOLORS";8922,00;8922,00;;;;;;
"A5.FIL.501.N99DIF";"62%VI + 38%PL";"YARNSCOLORS";-1;8965926;"A5.FIL.501.N99";8965923;"Athena C3003 nm2/68";"DIF";179,99;500,00;179,99;500,00;179,99;500,00;;;;0,00;-3,01;"A5.FIL.501";"N99";0,00;0,00;0,00;-9,03;0,00;0,00;;"YARNSCOLORS";549;;;;;;;549,00;;183,00;0,00;0,00;0,00;183,00;183,00;;549,00;0,00;0,00;0,00;549,00;549,00;"YARNSCOLORS";;"YARNSCOLORS";8922,00;8922,00;;;;;;
"A5.FIL.502.BB2IBL";"72%VI + 28%PL";"YARNSCOLORS";-1;8990159;"A5.FIL.502.BB2";8842805;"Snowy C2795 nm2/50";"IBL";72,38;771,00;72,93;758,00;54,62;542,00;;;;0,00;27,93;"A5.FIL.502";"BB2";10,46;0,00;2,80;521,89;5,57;0,00;;"YARNSCOLORS";1520;"YARNS-COLORS EURO";12;;;;;1520,00;;45,00;0,00;0,00;0,00;45,00;45,00;;1520,00;0,00;0,00;0,00;1520,00;1520,00;"YARNSCOLORS";;"YARNSCOLORS";8922,00;8922,00;;19,31;25,09;25,93;19,31;25,93
"A5.FIL.502.GBAIBL";"72%VI + 28%PL";"YARNSCOLORS";-1;8990160;"A5.FIL.502.GBA";8842805;"Snowy C2795 nm2/50";"IBL";74,43;345,00;74,96;346,00;53,09;251,00;;;;0,00;29,96;"A5.FIL.502";"GBA";10,46;0,00;2,80;521,89;5,57;0,00;;"YARNSCOLORS";1520;"YARNS-COLORS EURO";12;;;;;1520,00;;45,00;0,00;0,00;0,00;45,00;45,00;;1520,00;0,00;0,00;0,00;1520,00;1520,00;"YARNSCOLORS";;"YARNSCOLORS";8922,00;8922,00;;11,34;12,10;11,91;11,34;11,91
"A5.FIL.502.I8EIBL";"72%VI + 28%PL";"YARNSCOLORS";-1;8990162;"A5.FIL.502.I8E";8842805;"Snowy C2795 nm2/50";"IBL";14,18;89,00;14,82;93,00;11,79;74,00;;;;0,00;14,82;"A5.FIL.502";"I8E";10,46;0,00;2,80;521,89;5,57;0,00;;"YARNSCOLORS";1520;"YARNS-COLORS EURO";12;;;;;1520,00;;0,00;0,00;0,00;0,00;0,00;;;1520,00;0,00;0,00;0,00;1520,00;1520,00;"YARNSCOLORS";;"YARNSCOLORS";8922,00;8922,00;;4,66;4,66;4,66;4,66;4,66
"A5.FIL.502.KH8IBL";"72%VI + 28%PL";"YARNSCOLORS";-1;8990163;"A5.FIL.502.KH8";8842805;"Snowy C2795 nm2/50";"IBL";239,30;816,00;231,43;791,00;148,07;514,00;;;;0,00;81,43;"A5.FIL.502";"KH8";10,46;0,00;2,80;521,89;5,57;0,00;;"YARNSCOLORS";1520;"YARNS-COLORS EURO";12;;;;;1520,00;;150,00;0,00;0,00;0,00;150,00;150,00;;1520,00;0,00;0,00;0,00;1520,00;1520,00;"YARNSCOLORS";;"YARNSCOLORS";8922,00;8922,00;;0,05;0,05;0,05;0,05;0,05
